Date,Mass_Change_mwe,Uncertainty,Source,Mass_Minimum_Date,Number_of_Days,Mass_Difference
08/13/1958,-33.12,3.502,DEM,10/06/1958,54,-2.02
09/29/1970,-26.12,1.8955,DEM,10/04/1970,5,-0.12
10/06/1979,-25.81,1.8955,DEM,10/16/1979,10,-0.23
09/05/1986,-23.23,2.057,DEM,10/24/1986,49,-0.3
10/06/1992,-16.42,1.2325,DEM,10/12/1992,6,-0.04
09/20/2001,-11.7,1.0115,DEM,10/06/2001,16,-0.25
09/26/2004,-8.06,1.0625,DEM,10/08/2004,12,-0.22
10/01/2008,-4.93,0.408,DEM,10/04/2008,3,-0.06
10/14/2015,-0,0,DEM,10/23/2015,9,-0.08
