month,intercept1,slope1,rsquared1,intercept2,slope2,rsquared2
1,-4.10497457782536,0.720682989888397,0.70728062088005,-3.50998699040329,0.520646474038015,0.525146830691087
2,-4.27600883836477,0.78559393845408,0.658299969296564,-3.65613472435211,0.573525460392657,0.496186284116382
3,-5.20225370328853,0.876945090508309,0.767065525352569,-4.18338221170743,0.626665149429388,0.477839050012531
4,-5.92464942110708,0.994204093975339,0.741889596399133,-3.78356991036615,0.859370332598101,0.607741003408391
5,-5.90864742271842,0.978960569425869,0.668763008244144,-4.50509567131941,1.03514038469408,0.612495990589633
6,-6.70687845149748,1.09329020485002,0.659611907372085,-4.03605492025163,0.963680100394075,0.50617926559529
7,-6.64410198672051,1.10226574831932,0.618401752381863,-3.14758168121881,0.901128530131804,0.444131262609525
8,-5.30729738630874,1.01799879058054,0.553527406045407,-2.71501230490357,0.909515855196131,0.513780921437715
9,-5.0045516217258,0.976498957649457,0.674674742860619,-2.13316918108245,0.800456255738474,0.615851976024055
10,-5.15490856321957,0.96124317499511,0.729411019486224,-2.67902045630771,0.731530387025303,0.625367287406503
11,-4.39596897201708,0.804606016323264,0.674836427533944,-3.04188469634769,0.674673208473522,0.555263898857572
12,-4.31768488328352,0.691431516829183,0.622691484880938,-3.41428519366891,0.520215796460849,0.389416702938309
